data,size,algo,buildtime,querytime,params,recall
clip768v2,30M,NSG32,9275.327924728394,1.2982993125915527,"query=(search_L=93,ep=kmeans,threads=32)",0.94316
clip768v2,30M,NSG32,9275.327924728394,1.5349540710449219,"query=(search_L=64,ep=original,threads=64)",0.91838
clip768v2,30M,NSG32,9275.327924728394,1.1902673244476318,"query=(search_L=89,ep=kmeans,threads=32)",0.94163
clip768v2,30M,NSG32,9275.327924728394,0.914130449295044,"query=(search_L=90,ep=original,threads=32)",0.93657
clip768v2,30M,NSG32,9275.327924728394,2.0362608432769775,"query=(search_L=176,ep=original,threads=64)",0.92231
clip768v2,30M,NSG32,9275.327924728394,1.3077754974365234,"query=(search_L=117,ep=kmeans,threads=32)",0.95144
clip768v2,30M,NSG32,9275.327924728394,1.4423243999481201,"query=(search_L=102,ep=kmeans,threads=16)",0.94693
clip768v2,30M,NSG32,9275.327924728394,0.8448596000671387,"query=(search_L=81,ep=original,threads=32)",0.93184
clip768v2,30M,NSG32,9275.327924728394,1.2466075420379639,"query=(search_L=101,ep=kmeans,threads=16)",0.94677
clip768v2,30M,NSG32,9275.327924728394,0.9219155311584473,"query=(search_L=64,ep=kmeans,threads=16)",0.92432
clip768v2,30M,NSG32,9275.327924728394,2.0073063373565674,"query=(search_L=128,ep=kmeans,threads=64)",0.95506
clip768v2,30M,NSG32,9275.327924728394,1.2021355628967285,"query=(search_L=69,ep=original,threads=64)",0.92302
clip768v2,30M,NSG32,9275.327924728394,0.762366771697998,"query=(search_L=68,ep=original,threads=16)",0.92231
clip768v2,30M,NSG32,9275.327924728394,1.2721738815307617,"query=(search_L=99,ep=kmeans,threads=16)",0.94598
clip768v2,30M,NSG32,9275.327924728394,2.7208077907562256,"query=(search_L=224,ep=original,threads=64)",0.96286
clip768v2,30M,NSG32,9275.327924728394,1.1152491569519043,"query=(search_L=70,ep=kmeans,threads=32)",0.93081
clip768v2,30M,NSG32,9275.327924728394,1.6273488998413086,"query=(search_L=115,ep=original,threads=64)",0.94619
clip768v2,30M,NSG32,9275.327924728394,1.224381923675537,"query=(search_L=109,ep=kmeans,threads=16)",0.94934
clip768v2,30M,NSG32,9275.327924728394,2.036708354949951,"query=(search_L=94,ep=kmeans,threads=64)",0.94365
clip768v2,30M,NSG32,9275.327924728394,0.8991024494171143,"query=(search_L=83,ep=original,threads=32)",0.93305
clip768v2,30M,NSG32,9275.327924728394,2.2424962520599365,"query=(search_L=114,ep=kmeans,threads=64)",0.95067
clip768v2,30M,NSG32,9275.327924728394,1.5368320941925049,"query=(search_L=144,ep=kmeans,threads=32)",0.9592
clip768v2,30M,NSG32,9275.327924728394,1.5134546756744385,"query=(search_L=83,ep=original,threads=64)",0.93305
clip768v2,30M,NSG32,9275.327924728394,1.832157850265503,"query=(search_L=89,ep=kmeans,threads=64)",0.94163
clip768v2,30M,NSG32,9275.327924728394,1.4085586071014404,"query=(search_L=144,ep=original,threads=32)",0.9543
clip768v2,30M,NSG32,9275.327924728394,2.7627451419830322,"query=(search_L=224,ep=kmeans,threads=64)",0.96968
clip768v2,30M,NSG32,9275.327924728394,1.107790470123291,"query=(search_L=118,ep=original,threads=32)",0.94768
clip768v2,30M,NSG32,9275.327924728394,0.9545927047729492,"query=(search_L=74,ep=original,threads=64)",0.92763
clip768v2,30M,NSG32,9275.327924728394,0.9891176223754883,"query=(search_L=103,ep=original,threads=32)",0.94216
clip768v2,30M,NSG32,9275.327924728394,0.7935445308685303,"query=(search_L=65,ep=original,threads=16)",0.91946
clip768v2,30M,NSG32,9275.327924728394,1.6507594585418701,"query=(search_L=125,ep=kmeans,threads=32)",0.95426
clip768v2,30M,NSG32,9275.327924728394,1.6603662967681885,"query=(search_L=123,ep=original,threads=64)",0.9493
clip768v2,30M,NSG32,9275.327924728394,2.907381057739258,"query=(search_L=240,ep=kmeans,threads=64)",0.97054
clip768v2,30M,NSG32,9275.327924728394,1.3497099876403809,"query=(search_L=107,ep=kmeans,threads=16)",0.94845
clip768v2,30M,NSG32,9275.327924728394,2.391143560409546,"query=(search_L=122,ep=kmeans,threads=64)",0.95329
clip768v2,30M,NSG32,9275.327924728394,1.2833950519561768,"query=(search_L=88,ep=original,threads=64)",0.93519
clip768v2,30M,NSG32,9275.327924728394,1.0032892227172852,"query=(search_L=93,ep=original,threads=16)",0.93775
clip768v2,30M,NSG32,9275.327924728394,1.2690582275390625,"query=(search_L=110,ep=kmeans,threads=32)",0.94951
clip768v2,30M,NSG32,9275.327924728394,0.9078032970428467,"query=(search_L=92,ep=original,threads=32)",0.93728
clip768v2,30M,NSG32,9275.327924728394,1.571181058883667,"query=(search_L=128,ep=original,threads=64)",0.95058
clip768v2,30M,NSG32,9275.327924728394,1.0567617416381836,"query=(search_L=91,ep=original,threads=32)",0.93676
clip768v2,30M,NSG32,9275.327924728394,1.8547158241271973,"query=(search_L=107,ep=kmeans,threads=64)",0.94845
clip768v2,30M,NSG32,9275.327924728394,1.9765777587890625,"query=(search_L=84,ep=kmeans,threads=64)",0.93911
clip768v2,30M,NSG32,9275.327924728394,1.203258752822876,"query=(search_L=93,ep=kmeans,threads=16)",0.94316
